148,13001,3352,7526,792185,561593,293527,22267,76689,484861,596140,152664,300018,117263,237202,36832379,21941882,15371008,10272772,26329352,9237657,4484026,2434066,36031,19774075,5951538,6664583,30723092,26031075,44671992,16610821,14231211,8629438,782014,2990782,3259269,2005252,5570445,1378434,10004894,14861243,2951171,1319465,14270943,672355,12518303,8878910,5738048,9288012,259091,96495,6505612,2784154,3956668,2165752,201098,14034784,18558117,3338696,10013513,5660657,966338,940101,1299505,947180,6286611,8276792,3295138,2025817,94177,6258664,3090358,5394935
134,11590,1961,6950,776532,325926,270454,8090,44558,394401,572908,77034,276760,80514,226446,37790802,14517643,9232694,11089012,26862717,5014015,1781817,2561423,5944,17264580,5684399,3494324,32955919,14795163,46124332,8750962,13103778,8705164,231380,1808478,3256430,1319813,3299383,460236,7849694,14585518,2083238,494318,13317909,196685,11462105,8873164,2756418,6330637,161981,34568,3623853,2853047,1942582,2021170,78936,10630770,18844320,1717889,9303924,3755823,391853,485956,652088,656982,5221286,8465705,1915945,1413976,60343,6024778,2479620,5267838
131,10728,1372,7143,765152,209805,247373,3275,30403,336457,594859,46784,264585,73595,242491,37348884,10710150,5466425,11585763,25981364,3096680,715679,2309563,1715,14989961,5883991,2107381,34280504,8781620,49320759,4992981,11925677,9173286,77814,1134942,3139844,996967,1982133,187581,6609010,14106145,1835715,215395,13643813,83017,10671632,9006206,1562756,5691615,88284,11481,2293329,2972951,1166506,1811839,41317,8401436,20579286,979880,8923390,3181349,278714,344531,368758,626999,4704098,9252980,1572798,1168942,62981,5809246,2562933,5840076
126,9573,954,6921,790884,107530,191026,464,24882,253197,530859,24364,254236,68176,232496,38515598,7783770,1802598,14409025,24098816,1282441,65810,1406933,20,14588824,4946267,1032560,38583279,3165480,50181030,1581766,7470647,6574887,3803,525238,2979809,947381,1333681,25213,4014915,11587661,1502553,35075,9597323,51960,10462698,11331229,716173,4638079,65453,2904,1335448,2911190,500384,1484337,14311,4798179,18451642,327185,8130176,2384773,218891,317762,359988,553275,4392837,8127890,1291839,1277808,63273,5793608,2516544,5486224
122,9464,930,6451,813819,105000,171299,522,25741,243114,478122,23673,255270,62688,208357,39143839,7621905,1832486,15864543,24677462,1188579,71728,799898,23,16363492,4680226,1007628,40085860,3034261,47708154,1518962,5115344,4707983,4299,525670,3032672,1073825,1330431,28966,3112655,10564648,1288203,38230,6998231,47849,11053114,12428084,704079,4198027,64053,3969,1440163,2830191,503839,1403716,15198,4019730,15743189,316349,7986337,2243036,208314,344533,371427,491601,4634368,7188062,1174958,1309753,55837,5835430,2193078,4729255
124,9302,772,6854,779510,74880,190949,163,20062,233310,522832,15344,253155,63007,231610,38549200,6236390,880770,14426110,24048927,911682,15330,1488549,9,13540447,4685354,678756,38639155,1764813,50554741,641930,7445459,6471592,811,299215,2997653,736903,1066200,5893,3760971,11789157,1454388,7848,9272934,29982,9961757,11196539,409193,3964629,51980,1563,845735,2933300,250311,1572068,10217,4085107,18484686,127306,7910950,2096972,145185,244159,269436,451149,4207190,8007195,1047090,1196650,67127,5902938,2466145,5479531
124,9562,755,6871,731147,76112,228215,169,19440,266261,552586,14786,254274,62031,233138,38393845,5850339,848456,11911360,24209772,1194418,17071,2406360,9,12236775,4646755,716098,34340791,2105064,49261500,630002,11483969,8676797,809,281023,3073285,571743,1126607,6262,5600493,13513533,1539857,8043,12471039,27813,9051957,9178133,401291,4124742,52404,1621,819929,2793487,242970,1727141,10752,5737566,19813416,121523,8350541,2092602,138659,234792,256558,441834,4266973,8324433,1018263,1162635,65369,5873758,2445066,5544945
129,10943,1527,6729,750370,239012,257798,4474,38947,368614,549584,52946,267107,74615,217469,38121357,10937651,6540212,11292945,25830705,3921731,988657,2466242,1116,16085955,5143954,2391604,32362246,11213977,45475902,5886156,13092657,8592366,100274,1185437,3137084,1085801,2668298,269780,7838555,14043499,1871685,310311,13065532,111645,10348324,9018474,1835008,5692205,117673,12120,2812908,2679954,1434643,1768452,48401,9852959,18306619,1080631,8881567,2876870,290502,548693,542839,621826,5055611,7900793,1580549,1497982,70734,5923705,2460469,4954744
132,11852,1986,6660,764956,339449,279311,7775,50850,432401,557927,76973,276768,80909,209003,37079906,13925293,9996685,10845243,27505435,5471345,1651656,2546803,4611,18389724,5721297,3513780,31177673,16339612,43392270,8881543,14234525,8781700,204285,1717403,3223749,1373867,3717640,520845,9053496,14591206,1983810,497204,13539248,226275,11263275,8827706,2957917,6774687,168995,31141,4173658,2651944,2166386,1844930,78757,12169580,17528407,1608319,9576175,3649595,436077,721349,742543,749097,5786570,7951717,1924328,1595663,62573,5828914,2366342,4674014
129,12377,2018,6238,759349,376287,306707,7421,51973,479919,541429,79231,281297,75561,187291,36692634,14142014,11915381,10325130,29091223,6770474,1587467,2809656,3944,19930384,6153887,3740972,28870475,18516156,39487532,9748198,16273591,8810049,182826,1916365,3355005,1348101,4220901,540283,10486075,15077386,1836128,469043,13614206,284396,11815421,8586891,3480425,7095358,178946,30885,4679614,2506104,2246292,2010897,84575,13722327,15759456,1590804,10172590,3993081,461066,708072,732886,762799,6515461,7484507,1847240,1492770,57274,5682760,1976105,4052103
